Date,Open,High,Low,Close,Adj Close,Volume
2023-11-10,90.766159,92.226654,90.335197,91.995209,91.922867,4382618
2023-11-13,91.891457,93.024742,91.548286,92.194733,92.122231,5753776
2023-11-14,92.976852,93.822823,92.234634,93.575417,93.501831,6007634
2023-11-15,93.343971,93.774940,92.354347,92.817238,92.744247,5245309
2023-11-16,93.048683,94.940147,92.825218,94.924179,94.849533,5825072
2023-11-17,95.235435,95.834000,94.924179,95.714287,95.639023,5186418
2023-11-20,95.714287,96.360733,95.482841,95.826019,95.750664,5190678
2023-11-21,95.610535,95.969673,95.003990,95.682365,95.607124,3506019
2023-11-22,95.690346,96.161217,95.259377,95.450920,95.375862,3773785
2023-11-24,95.754189,96.049484,95.514763,95.746208,95.670914,1981995
2023-11-27,95.530724,96.025536,95.227455,95.746208,95.670914,3984415
2023-11-28,95.746208,95.857941,94.620911,94.852356,94.777771,4378107
2023-11-29,95.387070,95.530724,94.533119,94.860336,94.785744,3792831
2023-11-30,95.011971,97.238625,94.892258,97.206703,97.130264,10174611
2023-12-01,97.126892,98.363930,96.943336,97.765366,97.688484,5668572
2023-12-04,97.214684,97.693535,96.695930,96.991219,96.914948,4747116
2023-12-05,96.576218,96.711891,95.762169,95.953712,95.878258,3688206
2023-12-06,96.632080,97.829208,95.530724,95.618515,95.543327,3964241
2023-12-07,95.371109,95.786110,94.309654,95.355148,95.280167,5064626
2023-12-08,95.051872,96.424583,94.956108,96.241020,96.165337,4925418
2023-12-11,96.241020,96.496407,95.482841,95.993614,95.918129,4643869
2023-12-12,96.560257,97.749397,96.256981,97.621712,97.544945,4664543
2023-12-13,97.470070,97.653633,96.185158,96.711891,96.635841,5506309
2023-12-14,96.671989,97.685555,95.690346,96.847565,96.771408,10454155
2023-12-15,97.693535,98.699120,97.230644,98.347961,98.270622,13586279
2023-12-18,98.699120,98.834793,98.244217,98.675179,98.597588,5206215
2023-12-19,98.723068,100.542702,98.723068,100.510773,100.431732,5957138
2023-12-20,100.103752,100.734238,98.339981,98.459694,98.382271,6231921
2023-12-21,99.146049,101.396645,99.114128,101.332802,101.253120,5185165
2023-12-22,101.667999,102.178772,100.702316,101.109337,101.029831,4030650
2023-12-26,101.197128,101.923386,101.069435,101.731842,101.651840,2480063
2023-12-27,101.276932,102.482040,101.237030,102.314445,102.314445,3314310
2023-12-28,102.154831,103.112534,102.003189,102.410217,102.410217,3965494
2023-12-29,102.346367,102.537910,101.324821,101.859535,101.859535,4441133
2024-01-02,101.364723,102.274544,99.952118,100.518753,100.518753,5189425
2024-01-03,99.856346,99.936150,98.683159,99.010376,99.010376,4531850
2024-01-04,99.201912,100.375099,99.098167,99.489227,99.489227,4364199
2024-01-05,99.680763,100.830009,99.545090,100.790108,100.790108,4190157
2024-01-08,100.734238,102.498009,99.130089,102.378288,102.378288,6920068
2024-01-09,101.572227,102.777336,101.316841,102.777336,102.777336,4815028
2024-01-10,102.713486,103.886673,102.561852,103.511574,103.511574,4571320
2024-01-11,103.846771,103.910614,102.003189,103.615326,103.615326,5014005
2024-01-12,104.229851,104.389465,103.096565,103.583397,103.583397,5640380
2024-01-16,103.112534,103.631287,101.548286,102.130882,102.130882,6314619
2024-01-17,101.691940,102.697525,100.710297,101.260971,101.260971,5031171
2024-01-18,101.516357,102.689545,101.173187,102.593773,102.593773,6508082
2024-01-19,102.713486,103.790901,101.707901,103.599365,103.599365,6154611
2024-01-22,103.974464,105.562653,103.958504,104.732643,104.732643,10052443
2024-01-23,101.859535,105.251396,100.957703,103.711090,103.711090,13333800
2024-01-24,103.966476,104.062248,100.917793,103.695129,103.695129,10785198
2024-01-25,104.261772,105.746208,103.503593,103.695129,103.695129,6086573
2024-01-26,104.173981,105.538704,104.062248,104.700722,104.700722,4696495
2024-01-29,104.868317,105.458900,103.503593,104.628891,104.628891,6126544
2024-01-30,104.932159,107.166801,104.724663,106.887466,106.887466,7871346
2024-01-31,106.759773,107.318436,105.442940,105.682365,105.682365,6253472
2024-02-01,106.169197,108.108543,105.722267,108.068634,108.068634,6190572
2024-02-02,108.084595,109.664803,107.773346,108.970474,108.970474,6103864
2024-02-05,108.523544,110.646446,108.339981,109.904228,109.904228,7158013
2024-02-06,109.880287,110.446930,109.002396,109.800476,109.800476,6026178
2024-02-07,110.630486,110.798088,110.079811,110.534714,110.534714,5807655
2024-02-08,110.654427,111.316841,110.335197,110.973663,110.973663,4327110
2024-02-09,110.941742,111.276932,110.303268,111.157227,111.157227,4324604
2024-02-12,111.364723,112.386276,110.853951,111.867516,111.867516,4516313
2024-02-13,111.596169,113.160416,110.686356,113.144455,113.144455,9054930
2024-02-14,114.126099,117.238625,113.607346,116.919395,116.919395,13116028
2024-02-15,117.318436,118.826813,117.150841,118.411812,118.411812,8627532
2024-02-16,118.874702,120.000000,118.523544,119.042297,119.042297,8616756
2024-02-20,118.930565,119.984039,117.972862,118.611336,118.611336,7166032
2024-02-21,118.491623,119.225861,117.845169,118.970474,118.970474,5304826
2024-02-22,119.592979,121.508377,119.592979,121.045494,121.045494,5753024
2024-02-23,121.308861,122.745415,121.237030,122.370308,122.370308,7066168
2024-02-26,122.633682,123.846771,122.553871,123.519554,123.519554,7705449
2024-02-27,123.695129,123.711090,122.186752,122.897049,122.897049,7300354
2024-02-28,123.032722,125.227455,122.761375,124.189941,124.189941,7633025
2024-02-29,124.493217,125.442940,123.782921,125.211494,125.211494,8177329
2024-03-01,125.299278,127.150841,125.195534,126.616119,126.616119,8698201
2024-03-04,127.190742,129.106140,126.560257,128.499603,128.499603,8402242
2024-03-05,128.906631,129.409424,124.964088,125.985634,125.985634,8003663
2024-03-06,126.975258,128.475662,126.472466,127.294495,127.294495,8198755
2024-03-07,129.321625,133.064651,128.946533,132.881088,132.881088,14393838
2024-03-08,135.283325,140.311249,133.559464,134.046295,134.046295,21242234
2024-03-11,133.351959,134.413406,130.071823,132.928970,132.928970,9338609
2024-03-12,133.639267,133.918594,130.830002,133.647247,133.647247,6928589
2024-03-13,132.090988,136.512375,132.090988,135.802078,135.802078,8462887
2024-03-14,135.873901,136.272949,132.186752,133.080612,133.080612,9460777
2024-03-15,132.202713,136.073425,131.596176,134.788513,134.788513,13263757
2024-03-18,134.844376,136.272949,134.541107,135.602554,135.602554,6228788
2024-03-19,135.522751,138.810852,134.876297,138.435760,138.435760,9360787
2024-03-20,137.757385,139.489227,137.278534,138.810852,138.810852,7229434
2024-03-21,139.361526,141.300873,138.140457,140.973663,140.973663,7890893
2024-03-22,140.702316,141.660019,139.728653,139.784515,139.784515,6842132
2024-03-25,139.393463,140.071823,137.901031,138.459702,138.459702,6288181
2024-03-26,138.459702,139.704712,137.589783,138.507584,138.507584,5056983
2024-03-27,139.680771,143.942535,139.409424,143.750992,143.750992,12606433
2024-03-28,143.615326,143.631287,139.130081,140.087784,140.087784,12122274
2024-04-01,140.143661,140.486832,138.116516,139.952118,139.952118,7399592
2024-04-02,140.529999,144.509995,133.990005,136.470001,136.470001,20490400
2024-04-03,138.149994,147.940002,138.009995,145.619995,145.619995,16208500
2024-04-04,146.649994,151.990005,146.210007,147.389999,147.389999,11880200
2024-04-05,148.529999,156.470001,148.529999,156.300003,156.300003,14768500
